idioma,texto_entidade,tipo_entidade,contexto
pt,FOLHA,ORG,"O mistério que rondava os corredores do departamento de humor da TV Globo desde agosto sobre a demissão sem explicações de Marcius Melhem, até então poderoso diretor do núcleo com 20 anos na emissora, chegou ao fim: a denúncia de Dani Calabresa contra o ex_diretor de assedio sexual não apenas teve prosseguimento como ganhou coro de outras profissionais da casa, revela a colunista MONICA BERGAMO da FOLHA."
pt,Melhem,LOC,"Na nota em que comunicava o desligamento de Melhem, no entanto, a emissora nada disse sobre nenhuma dessas denúncias de assédio."
pt,Globo,ORG,"Após o posicionamento público da Globo, algumas das mulheres se organizaram para reclamar sobre o desfecho com a direção da emissora."
pt,Mayra Cotta,PER,"A colunista conversou com diversas vítimas, que temiam ter seus nomes expostos, mas designaram a advogada criminalista Mayra Cotta, que as assessora no caso, a dar um depoimento sobre o assunto."
pt,Mayra,PER,Mayra falou sobre o receio das vítimas e o porquê de adotarem a estratégia de formar um grupo.
pt,Melhem,LOC,A advogada descreveu Melhem como um chefe que se vale de sua posição para tentar usar o poder que tinha de contratar ou demitir para as constranger a se envolver com ele.
pt,Labour Organization,ORG,"Estudo women at work, international Labour Organization."
pt,Acho,PER,Acho sim extremamente triste pessoas se submeterem a prostituição por vulnerabilidade social.
pt,prostituição,ORG,Acho sim extremamente triste pessoas se submeterem a prostituição por vulnerabilidade social.
pt,problemático,PER,"O meu ponto é que apesar de problemático, não é a mesma coisa que estupro."
pt,Holanda,LOC,Pamela Holanda tem 27 anos.
pt,Pamela,LOC,"Há outras pessoas na cena: uma mulher que tenta afagar o rosto de Pamela; outro homem que entra e sai da casa como que para mediar, mas desiste."
pt,Pamela,LOC,Pamela continua sendo espancada.
pt,Temia,PER,Temia o que muitas outras temem: ficar desprotegida e o agressor voltar com ainda mais fúria.
pt,Estado,LOC,Precisamos agir: precisamos de um Estado que proteja as mulheres.
pt,Pamela,PER,Precisamos de um ministério das mulheres que pare de perseguir mulheres e olhe para as mulheres concretas como Pamela e cuide delas.
pt,afeto,PER,"Isso que a gente tá falando aqui de dinheiro, e não de afeto, porque ainda há aqueles que pensam que os 300 reais cobrem tudo, incluindo a presença paternal."
pt,Helena,PER,"Sou eu ali atrás, Helena, criadora deste projeto, oferecendo pra vocês o melhor conteúdo que posso criar com carinho e dedicação."
pt,Criei,LOC,"Criei uma campanha de apoio mensal, onde você pode contribuir a partir de 1 real apenas, e já será de grande ajuda, pois se 10 (porcento) das pessoas que me seguem me ajudarem com 1 real por mês eu já consigo me manter."
pt,Deixei,PER, Deixei o link da campanha na Bio.
pt,Bio,LOC, Deixei o link da campanha na Bio.
pt,Congresso,LOC,"Por isso, não basta elegermos mulheres, é preciso que coloquemos no Congresso, mulheres que se alinhem as pautas das mulheres e minorias."
pt,Brasil,LOC,"No Brasil, a maioria das mulheres, sobretudo as mulheres negras, enfrentam uma realidade de enorme vulnerabilidade econômica, além de toda a vulnerabilidade de segurança que enfrentam."
pt,Mulheres,PER,"Mulheres negras recebem menos que homens brancos, recebem menos que mulheres brancas,  estão na base da pirâmide."
pt,Sofro,LOC,"Sofro pesado com síndrome da impostora, e você?"
pt,Pauline Clance,PER,"O termo surgiu em 1978, pelas psicólogas Pauline Clance e Suzanne Imes, em um estudo com mulheres bem_sucedidas profissionalmente, onde entre 150 profissionais de destaque em diversas áreas, muitas afirmaram não reconhecerem internamente seu próprio sucesso."
pt,Suzanne Imes,PER,"O termo surgiu em 1978, pelas psicólogas Pauline Clance e Suzanne Imes, em um estudo com mulheres bem_sucedidas profissionalmente, onde entre 150 profissionais de destaque em diversas áreas, muitas afirmaram não reconhecerem internamente seu próprio sucesso."
pt,padrão_de_beleza,ORG,A ideia não é julgar quem se adequa cotidianamente ao padrão_de_beleza.
pt,Marielle Franco,PER,"Marielle Franco foi executada brutalmente em 14 de março de 2018, mas sua família, as sementes e o legado da vereadora seguem em pé."
pt,Marielle,PER,"Marielle lutava incansavelmente por justiça social, igualdade de gênero e valorização da vida das mulheres negras."
pt,CULPA,ORG,"Uma das coisas que a gente encontra muito por aqui, em tom de desabafo, é CULPA."
pt,Acredito,LOC,Acredito que seja devido às pessoas conscientizarem umas às outras.
pt,cis,ORG,"Temos pautas em comum, cis ou trans, sofremos machismo."
pt,Mulheres,PER,"Mulheres negras, brancas e indígenas também não são iguais, e sofrem o machismo de formas diferentes às vezes, e nem por isso deixamos de nos unir."
pt,cis,LOC,"Se já existe a palavra fêmea pra designar a parte biológica, porque não usar mulher pra incluir mulheres trans e cis?"
pt,Núbia Lima,PER,"A psicóloga e escritora Núbia Lima trouxe em seu perfil uma provocação importante: por que o auge da beleza de uma mulher, em tese, é quando ela se parece com uma criança."
pt,Núbia,LOC,"Seu auge é agora, escreve Núbia em seu perfil."
pt,Fritz Lang,PER,"Na visão do diretor Fritz Lang, ele tinha seios de metal e se chamava Maria."
pt,Maria,PER,"Na visão do diretor Fritz Lang, ele tinha seios de metal e se chamava Maria."
pt,Alexa da Amazon,PER,"Quase 100 anos depois, Alexa da Amazon, Cortana da Microsoft, Siri da Apple e muitas outras não precisam de uma representação física para serem estabelecidas como robôs de assistência a seres humanos, tampouco suas funções as definem como tal, mas sim o fato de que atendem com vozes e nomes femininos, fazendo com que seus usuários se sintam mais confortáveis ao dar ordens."
pt,Cortana,LOC,"Quase 100 anos depois, Alexa da Amazon, Cortana da Microsoft, Siri da Apple e muitas outras não precisam de uma representação física para serem estabelecidas como robôs de assistência a seres humanos, tampouco suas funções as definem como tal, mas sim o fato de que atendem com vozes e nomes femininos, fazendo com que seus usuários se sintam mais confortáveis ao dar ordens."
pt,Microsoft,ORG,"Quase 100 anos depois, Alexa da Amazon, Cortana da Microsoft, Siri da Apple e muitas outras não precisam de uma representação física para serem estabelecidas como robôs de assistência a seres humanos, tampouco suas funções as definem como tal, mas sim o fato de que atendem com vozes e nomes femininos, fazendo com que seus usuários se sintam mais confortáveis ao dar ordens."
pt,Apple,ORG,"Quase 100 anos depois, Alexa da Amazon, Cortana da Microsoft, Siri da Apple e muitas outras não precisam de uma representação física para serem estabelecidas como robôs de assistência a seres humanos, tampouco suas funções as definem como tal, mas sim o fato de que atendem com vozes e nomes femininos, fazendo com que seus usuários se sintam mais confortáveis ao dar ordens."
pt,Maria Ribeiro,PER,"Em seu perfil, a fotógrafa Maria Ribeiro, refletiu sobre os impactos desse peso introjetado pelo patriarcado em todas as esferas de deleite que nos dizem respeito."
pt,Cozinho,LOC,Cozinho profissionalmente desde os 18 anos.
pt,misoginia,LOC,"Não dá para contar as inúmeras vezes em que enfrentei misoginia e machismo nesses ambientes de trabalho, escreveu a chef Helena Rizzo após ter sido vítima de machismo no ambiente de trabalho."
pt,Helena Rizzo,PER,"Não dá para contar as inúmeras vezes em que enfrentei misoginia e machismo nesses ambientes de trabalho, escreveu a chef Helena Rizzo após ter sido vítima de machismo no ambiente de trabalho."
pt,Alex Atala,PER,"Em sua apresentação como jurada do programa MasterChef exibido nesta semana, o também chef Alex Atala preferiu destacar a beleza da cozinheira ao invés de mencionar suas habilidades profissionais, enquanto outros jurados, homens, foram apresentados a partir do currículo."
pt,Helena,PER,"Helena, por exemplo, é a única brasileira com uma estrela Michelin em seu restaurante."
pt,Michelin,LOC,"Helena, por exemplo, é a única brasileira com uma estrela Michelin em seu restaurante."
pt,Tenho,PER,"Tenho consciência de que eu sou pequena, atarracada, mal_humorada."
pt,Acho,PER,Acho que isso teria sido desnecessário se não tivesse que enfrentar um monte de babacas.
pt,Marlene Mattos,PER,"Mas nunca puxei o tapete de ninguém, disse Marlene Mattos, em entrevista à Tpm em 2004."
pt,Tpm,LOC,"Mas nunca puxei o tapete de ninguém, disse Marlene Mattos, em entrevista à Tpm em 2004."
pt,Xuxa,PER,"O documentário de Xuxa trouxe a empresária de volta à pauta do dia, por conta de relatos de comportamentos abusivos contra a apresentadora."
pt,Marlene,PER,"Há quase 20 anos, Marlene falou sobre sua história de vida, a relação com Xuxa, o abandono familiar, a fama de abusiva, amor e machismo."
pt,Xuxa,PER,"Há quase 20 anos, Marlene falou sobre sua história de vida, a relação com Xuxa, o abandono familiar, a fama de abusiva, amor e machismo."
pt,Belo Horizonte,LOC,"Uma mulher foi estuprada após ter sido deixada em uma calçada, desacordada, por um motorista de aplicativo na madrugada deste domingo, em Belo Horizonte."
pt,Mulheres,LOC,"Mulheres são ensinadas a cuidar desde cedo, seja da casa, de outras mulheres, dos filhos, dos mais velhos e dos homens."
pt,Estado,LOC,"Em um país com índices assustadores de abandono afetivo e financeiro masculino, violências como essa desapontam e machucam a todas, mas não causam surpresa: mulheres têm mais chances de serem abandonadas pelos seus companheiros em casos de doenças ou detenção, além de, tantas vezes, serem as responsáveis por assumir as responsabilidades e consequências causadas também pelo abandono paterno, sem mencionar o abandono do Estado."
pt,Palmira Margarida,PER,A cientista e produtora de conteúdo Palmira Margarida reflete sobre a importância de não se deixar ser oprimida pela cobrança constante de produtividade e alta performance.
pt,Anne Hathaway,PER,"A atriz Anne Hathaway compartilhou, recentemente, como viveu uma experiência incrível ao retornar para o set após a gestação do seu filho, enquanto lidava com inseguranças por estar em um corpo puérpero."
pt,Sandra Bullock,PER,"Eu estava consciente disso e fui gravar usando meu jeans, dando o meu melhor, até que Sandra Bullock apenas olhou pra mim e disse: Você está bonita, mamãe."
pt,Oito Mulheres,PER,"Na ocasião, em 2017, ela estava gravando o longa Oito Mulheres e um Segredo com as estrelas Sandra Bullock, Cate Blanchett e Rihanna."
pt,Segredo,LOC,"Na ocasião, em 2017, ela estava gravando o longa Oito Mulheres e um Segredo com as estrelas Sandra Bullock, Cate Blanchett e Rihanna."
pt,Sandra Bullock,PER,"Na ocasião, em 2017, ela estava gravando o longa Oito Mulheres e um Segredo com as estrelas Sandra Bullock, Cate Blanchett e Rihanna."
pt,Cate Blanchett,ORG,"Na ocasião, em 2017, ela estava gravando o longa Oito Mulheres e um Segredo com as estrelas Sandra Bullock, Cate Blanchett e Rihanna."
pt,Rihanna,PER,"Na ocasião, em 2017, ela estava gravando o longa Oito Mulheres e um Segredo com as estrelas Sandra Bullock, Cate Blanchett e Rihanna."
pt,Mayim Bialik,PER,"A multi talentosa atriz, autora e neurocientista Mayim Bialik, uma das estrelas da série The Big Bang Theory, compartilhou no seu perfil cinco atitudes, nem sempre vistas como simpáticas, para dar conta de um dia de cada vez."
pt,Inteira,LOC,Inteira.
pt,Tentei,LOC,"Tentei ser tão boa pros interesses dele que, no fim, achei os meus um tanto quanto fracos."
pt,Caroline Larroque,PER,"Porque você não consegue fazer uma pessoa se apaixonar por você dando mais daquilo que ela já não quer, refletiu a escritora e roteirista Caroline Larroque."
pt,Caroline,PER,"Caroline é autora do livro de poemas O que me restou, Editora Penalux, 2020, escreve sobre relacionamentos e autoestima a partir das suas vivências."
pt,Editora Penalux,ORG,"Caroline é autora do livro de poemas O que me restou, Editora Penalux, 2020, escreve sobre relacionamentos e autoestima a partir das suas vivências."
pt,Annie Wang,PER,"A artista taiwanesa Annie Wang retratou a sua vida com o filho, durante quase duas décadas, desde a gravidez até a adolescência do garoto."
pt,Creator,PER,"A série Mother as a Creator surgiu em 2000, quando Annie ingressou no PhD em artes e engravidou, voltando o seu olhar para a relação entre mãe e filho."
pt,Annie,PER,"A série Mother as a Creator surgiu em 2000, quando Annie ingressou no PhD em artes e engravidou, voltando o seu olhar para a relação entre mãe e filho."
pt,PhD,ORG,"A série Mother as a Creator surgiu em 2000, quando Annie ingressou no PhD em artes e engravidou, voltando o seu olhar para a relação entre mãe e filho."
pt,Annie,LOC,"Atualmente, Annie continua produzindo os autorretratos."
pt,Neymar Jr,PER,"Na tarde de hoje, o jogador Neymar Jr publicou em seu perfil uma carta aberta admitindo que foi infiel e que, desta forma, acabou expondo a companheira e também o filho que o casal espera."
pt,Brasil,LOC,"Histórias recentes, no Brasil e no mundo, mostram que o carinho da população não é para o bico de mulheres consideradas adúlteras."
pt,Lydia Reeves,PER,"A artista plástica britânica Lydia Reeves encontrou, na arte de esculpir, uma ferramenta poderosa para trabalhar as inseguranças com o seu corpo, celebrando a diversidade e beleza das formais naturais de mulheres."
pt,Escolhi,LOC,Escolhi também oferecer a outras pessoas formas de celebrar a si mesmas.
pt,Lydia,LOC,"Lydia trabalha criando esculturas realistas feitas sob medida, reproduzindo detalhes, texturas e formas anatômicas que não costumam ser enfatizadas nas esculturas, especialmente as femininas, como flacidez e poros da pele, dobras da barriga e a delicadeza da vulva."
pt,Dou,PER,Dou risada quando alguém diz que os cabelos brancos me fazem parecer mais velha.
pt,Andie Macdowell,PER,"Mas eu não me importo, diverte_se a atriz Andie Macdowell, sobre a reação do público desde que resolveu usar os cabelos grisalhos."
pt,Adri Coelho Silva,PER,"Adri Coelho Silva, criadora de conteúdo no Viva a Coroa, reflete sobre a forma como o etarismo recai sobre as mulheres, em especial, as grisalhas."
pt,aceita_lo,LOC,"O convite para parecer ser mais jovem é farto, e aceita_lo é uma escolha que pode tomar uma farta fatia da vida e do presente."
pt,Cabelos,PER,Cabelos brancos são lindos.
pt,Gérard Depardieu,ORG,E nem o Gérard Depardieu.
pt,Terra,LOC,"Todos os tipos de abusos e violências, seja contra crianças, mulheres, animais, pessoas LGBTQIA+, pessoas negras, indígenas, contra os próprios homens, e com a nossa própria mãe Terra, são praticados e cometidos diariamente e majoritariamente por nós, homens, reflete Claudio Serva, criador de conteúdo sobre masculinidade saudável e sexualidade positiva no prazer_ele."
pt,Claudio Serva,PER,"Todos os tipos de abusos e violências, seja contra crianças, mulheres, animais, pessoas LGBTQIA+, pessoas negras, indígenas, contra os próprios homens, e com a nossa própria mãe Terra, são praticados e cometidos diariamente e majoritariamente por nós, homens, reflete Claudio Serva, criador de conteúdo sobre masculinidade saudável e sexualidade positiva no prazer_ele."
pt,Claudio,PER,"Para Claudio, o problema que dá margem para tantas violências acontecerem é dos homens, sim, e cabe a eles transformar essa realidade."
pt,Iana Villela,PER,"É cedo que a gente aprende a abraçar a violência como gentileza, mas o incômodo sem dono vagando pelo corpo denuncia, diz a escritora e publicitária Iana Villela, numa reflexão sobre as recorrentes violações de nossos corpos, e a importância de nunca normalizar essas violências."
pt,MC Guimê,ORG,"Diante da expulsão dos participantes do Big Brother Brasil, MC Guimê e Cara de Sapato, por importunação sexual, ela aponta a importância de um exemplo de punição em rede nacional."
pt,Cara de Sapato,LOC,"Diante da expulsão dos participantes do Big Brother Brasil, MC Guimê e Cara de Sapato, por importunação sexual, ela aponta a importância de um exemplo de punição em rede nacional."
pt,Thaís Carla,PER,"A bailarina e criadora de conteúdo Thaís Carla conheceu o estrelato depois de participar do quadro Se Vira nos 30, no extinto Domingão do Faustão, e brilhar com sua dança no Show das Poderosas, de Anitta,."
pt,Anitta,LOC,"A bailarina e criadora de conteúdo Thaís Carla conheceu o estrelato depois de participar do quadro Se Vira nos 30, no extinto Domingão do Faustão, e brilhar com sua dança no Show das Poderosas, de Anitta,."
pt,Tpm,ORG,"Em 2021, a bailarina bateu um papo com a Tpm sobre sua trajetória na dança, saúde e militância gorda na internet."
pt,Thaís,PER,"Para Thaís, a autoestima é uma vocação humana, mas acaba sendo massacrada ao longo dos anos pelo bombardeio de pressões estéticas naturalizadas em uma sociedade gordofóbica."
pt,Antônio Cara de Sapato,PER,"Na madrugada desta quinta_feira, durante uma festa no Big Brother Brasil, o lutador Antônio Cara de Sapato tentou forçar um beijo e chegou a imobilizar a modelo Dania Mendez, que está participando de um intercâmbio entre o BBB e o programa mexicano La Casa de Los Famosos."
pt,Dania,LOC,"Mais cedo, durante a festa, Dania já havia retirado a mão do cantor Mc Guimê de seu corpo enquanto a dupla conversava com outros participantes."
pt,Mc Guimê,PER,"Mais cedo, durante a festa, Dania já havia retirado a mão do cantor Mc Guimê de seu corpo enquanto a dupla conversava com outros participantes."
pt,Mulheres,LOC,"Mulheres são socialmente condicionadas a não baterem de frente com agressores por motivos diversos, seja por se sentirem culpadas pela atitude alheia, por medo de que a agressão física escale ou pela falta de preparo generalizada quando o tema é consentimento."
pt,Samara Felippo,PER,A atriz Samara Felippo coloca esta diferença em perspectiva.
pt,Casa Tpm,LOC,"Na Casa Tpm, ela conversou com a escritora e criadora de conteúdo Andressa Reis e com a especialista em desenvolvimento humano Flávia Camanho sobre a disparidade imensa de expectativas que recaem sobre pais e mães na criação dos filhos."
pt,Andressa Reis,PER,"Na Casa Tpm, ela conversou com a escritora e criadora de conteúdo Andressa Reis e com a especialista em desenvolvimento humano Flávia Camanho sobre a disparidade imensa de expectativas que recaem sobre pais e mães na criação dos filhos."
pt,Flávia Camanho,PER,"Na Casa Tpm, ela conversou com a escritora e criadora de conteúdo Andressa Reis e com a especialista em desenvolvimento humano Flávia Camanho sobre a disparidade imensa de expectativas que recaem sobre pais e mães na criação dos filhos."
pt,Xuxa Meneghel,PER,"Nesta semana, em uma entrevista para o programa Saia Justa, a apresentadora Xuxa Meneghel se abriu sobre a carreira, sua relação com a imagem e a chegada aos 60 anos."
pt,Xuxa,PER,"Durante o bate_papo, Xuxa desabafou que foi submetida a cirurgias plásticas sem o seu consentimento, enquanto estava anestesiada."
pt,Luisa Mell,PER,"Em 2021, a ativista e defensora dos animais Luisa Mell relatou também ter sido submetida a procedimentos estéticos sem o seu consentimento, alertando para a gravidade desse tipo de conduta, que deixa sequelas físicas e emocionais."
pt,Instagram,ORG,"Em seu perfil do Instagram, a pesquisadora de estudos culturais Mariane Santana refletiu sobre como os homens estão lucrando na internet monetizando o ódio contra as mulheres."
pt,Mariane Santana,PER,"Em seu perfil do Instagram, a pesquisadora de estudos culturais Mariane Santana refletiu sobre como os homens estão lucrando na internet monetizando o ódio contra as mulheres."
pt,Busca_se,LOC,"Busca_se enfraquecer a capacidade delas tomarem decisões acerca de seus próprios destinos, diz Mariane."
pt,Mariane,LOC,"Busca_se enfraquecer a capacidade delas tomarem decisões acerca de seus próprios destinos, diz Mariane."
pt,Shakira,PER,"Em sua primeira entrevista após se divorciar, a cantora Shakira falou sobre a sensação de não se bastar na solitude."
pt,Giulia Guimarães Tavares,PER,"Me divertir com pessoas que amo, pular no meio do bloco no ritmo da música que ecoa, estar fantasiada e vestindo roupas que mostram minha pele não me faz menos profissional ou menos capaz, escreve a psicóloga Giulia Guimarães Tavares."
pt,Maria Homem,PER,"Em 2020, a psicanalista Maria Homem conversou com a Tpm a esse respeito."
pt,Tpm,LOC,"Em 2020, a psicanalista Maria Homem conversou com a Tpm a esse respeito."
pt,The New York Times,ORG,"Em entrevista ao The New York Times, Helen Fisher, pesquisadora sênior do Instituto Kinsey, da Universidade de Indiana, EUA, define como vício em amor o padrão de ter desejo obsessivo e pensamento intrusivo, nessas dinâmicas."
pt,Helen Fisher,PER,"Em entrevista ao The New York Times, Helen Fisher, pesquisadora sênior do Instituto Kinsey, da Universidade de Indiana, EUA, define como vício em amor o padrão de ter desejo obsessivo e pensamento intrusivo, nessas dinâmicas."
pt,Instituto Kinsey,LOC,"Em entrevista ao The New York Times, Helen Fisher, pesquisadora sênior do Instituto Kinsey, da Universidade de Indiana, EUA, define como vício em amor o padrão de ter desejo obsessivo e pensamento intrusivo, nessas dinâmicas."
pt,Universidade de Indiana,LOC,"Em entrevista ao The New York Times, Helen Fisher, pesquisadora sênior do Instituto Kinsey, da Universidade de Indiana, EUA, define como vício em amor o padrão de ter desejo obsessivo e pensamento intrusivo, nessas dinâmicas."
pt,EUA,LOC,"Em entrevista ao The New York Times, Helen Fisher, pesquisadora sênior do Instituto Kinsey, da Universidade de Indiana, EUA, define como vício em amor o padrão de ter desejo obsessivo e pensamento intrusivo, nessas dinâmicas."
pt,Maria Ribeiro,PER,"Começaram a achar que sou mais velha do que de fato sou e passei a me sentir mal com isso, o que não deveria ser um problema, conta a fotógrafa Maria Ribeiro."
pt,Bruna Griphao,PER,"O relacionamento entre a atriz Bruna Griphao e o modelo Gabriel Tavares, participantes do Big Brother Brasil, levantou uma discussão séria sobre relacionamentos abusivos e a dificuldade em se reconhecer neste tipo de relação."
pt,Gabriel Tavares,PER,"O relacionamento entre a atriz Bruna Griphao e o modelo Gabriel Tavares, participantes do Big Brother Brasil, levantou uma discussão séria sobre relacionamentos abusivos e a dificuldade em se reconhecer neste tipo de relação."
pt,Tadeu Schmidt,PER,"Quem está envolvido em um relacionamento talvez nem perceba, mas quem está de fora consegue enxergar quando os limites estão prestes a ser gravemente ultrapassados, alertou Tadeu Schmidt durante o programa ao vivo no domingo."
pt,Gabriel,PER,"Para além das atitudes do casal, a fala de Gabriel é inaceitável porque declarações desse tipo costumam preceder abusos mais graves, que por vezes são normalizados dentro de uma cultura machista e letal."
pt,Bruna,LOC,"Bruna aparenta ser uma mulher forte, destemida, que fala o que quer, e Gabriel está bem longe de fazer a performance do típico machão."
pt,Gabriel,PER,"Bruna aparenta ser uma mulher forte, destemida, que fala o que quer, e Gabriel está bem longe de fazer a performance do típico machão."
pt,Bruna,LOC,"Embora Bruna não deite para Gabriel, ela xinga, responde rispidamente, dá uns foras, ele faz com que ela se submeta a ele."
pt,Gabriel,PER,"Embora Bruna não deite para Gabriel, ela xinga, responde rispidamente, dá uns foras, ele faz com que ela se submeta a ele."
pt,Gabriel,PER,"Sem perceber, foi sugada por Gabriel."
pt,Manuela Xavier,PER,"Está preocupada em proteger um homem que não a tem como prioridade nem no jogo nem na vida, explicou a psicanalista Manuela Xavier em uma discussão no seu perfil sobre a complexidade que as relações tóxicas carregam."
pt,Brasil,LOC,"A segunda edição do reality show Casamento às Cegas: Brasil, exibido pela netfllix_brasil, propõe um experimento social em que as pessoas conversam e decidem se desejam se casar antes mesmo de ver a aparência do crush."
pt,netfllix_brasil,ORG,"A segunda edição do reality show Casamento às Cegas: Brasil, exibido pela netfllix_brasil, propõe um experimento social em que as pessoas conversam e decidem se desejam se casar antes mesmo de ver a aparência do crush."
pt,Maíra Bullos,LOC,"A modelo Maíra Bullos, que participou desta edição, manifestou incômodo com a postura dos participantes da ala masculina."
pt,Instagram,LOC,"Em seus Stories no Instagram, Maíra contou que um dos rapazes teria criticado a aparência das mulheres desta temporada."
pt,Maíra,LOC,"Em seus Stories no Instagram, Maíra contou que um dos rapazes teria criticado a aparência das mulheres desta temporada."
pt,Vanessa,LOC,"Ouvi um áudio do grupo de todos os meninos em que tinha um cara falando que todas nós éramos feias e só salvava a Vanessa, que vacilaram na escolha do time feminino, porque só tinha homem bonito,autoestima de milhões, porque veio justamente de um feio, revelou."
pt,Maíra,LOC,"De acordo com Maíra, Alisson Hentges teria sido o único a reagir e sair em defesa das mulheres."
pt,Alisson Hentges,PER,"De acordo com Maíra, Alisson Hentges teria sido o único a reagir e sair em defesa das mulheres."
pt,Alisson,PER,"O Alisson que defendeu a gente falando: Ele tá falando das mulheres de vocês, vocês vão deixar.,"
pt,Maíra,LOC,"Maíra faz uma reflexão sobre a experiência: Acho importante esses assuntos virem à tona, porque mostra o quanto homens que não têm nada a oferecer cobram que sejamos perfeitas,sendo que só tinha mulher linda com histórias de superação incríveis, concluiu."
pt,Acho,PER,"Maíra faz uma reflexão sobre a experiência: Acho importante esses assuntos virem à tona, porque mostra o quanto homens que não têm nada a oferecer cobram que sejamos perfeitas,sendo que só tinha mulher linda com histórias de superação incríveis, concluiu."
pt,Rafaela Azevedo,PER,"O ano mal começou e a Palhaça Fran, personagem da atriz Rafaela Azevedo, já chegou com dicas providenciais pra quem pretende se aventurar no mundo dos aplicativos em 2023."
pt,Carolinie Figueredo,PER,"Uma reflexão ainda muito necessária nos dias de hoje, infelizmente: a terapeuta Carolinie Figueredo fala sobre a ausência masculina quando as mulheres mais precisam deles."
pt,Carolinie,PER,Carolinie faz uma pergunta bastante pertinente para quem acredita que os relacionamentos amorosos são vias de duas mãos: quem são os homens que ficam quando adoecemos.
pt,Maia Gray,PER,"Para discutir a falácia da idealização estética impossível de existir sem Photoshop, a influenciadora Maia Gray traz um lembrete: Não há absolutamente nenhuma razão para sentir vergonha de ter estrias."
